PhoneName,Price,RAM_ROM,Display,Battery,Processor,Stars,Ratings Count,Reviews Count
"realme P1 Pro 5G (Phoenix Red, 256 GB)","₹22,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,6 Gen 1 Processor,4.3,"14,286",947
"Nothing Phone (2a) 5G (White, 128 GB)","₹23,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,5000 mAh Battery,Dimensity 7200 Pro Processor,4.3,"14,286",947
"MOTOROLA g24 Power (Glacier Blue, 128 GB)","₹7,999",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,6000 mAh Battery,Helio G85 Processor,4.3,"14,286",947
"MOTOROLA G04 (Concord Black, 64 GB)","₹6,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Unisoc T606 Processor,4.3,"14,286",947
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,6000 mAh Battery,"Exynos 1330, Octa Core Processor",4.3,"14,286",947
"Infinix SMART 8 (Rainbow Blue, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Shiny Gold, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Galaxy White, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Shiny Gold, 64 GB)","₹7,199",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
"Infinix SMART 8 (Rainbow Blue, 128 GB)","₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.76 cm (6.6 inch) HD+ Display,5000 mAh Battery,Helio G36 Processor,4.3,"14,286",947
LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,₹930,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.5 cm (1.77 inch) Quarter QVGA Display,1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,,4.3,"14,286",947
